Step     0, Loss:  2.35, Accuracy:   8.59%, Time usage:  0m  8s .
Step   100, Loss:  0.13, Accuracy:  97.66%, Time usage:  0m 10s .
Step   200, Loss:  0.09, Accuracy: 100.00%, Time usage:  0m 10s .
Step   300, Loss:  0.17, Accuracy:  95.31%, Time usage:  0m 11s .
Step   400, Loss:  0.07, Accuracy:  97.66%, Time usage:  0m 12s .
Step   500, Loss:  0.02, Accuracy: 100.00%, Time usage:  0m 17s .
Step   600, Loss:  0.02, Accuracy:  99.22%, Time usage:  0m 18s .
Step   700, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 19s .
Step   800, Loss:  0.07, Accuracy:  97.66%, Time usage:  0m 19s .
Step   900, Loss:  0.05, Accuracy:  97.66%, Time usage:  0m 20s .
Step  1000, Loss:  0.01, Accuracy:  99.22%, Time usage:  0m 24s .
Step  1100, Loss:  0.03, Accuracy:  98.44%, Time usage:  0m 25s .
Step  1200, Loss:  0.06, Accuracy:  96.88%, Time usage:  0m 25s .
Step  1300, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 26s .
Step  1400, Loss:  0.04, Accuracy:  99.22%, Time usage:  0m 27s .
Step  1500, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 31s .
Step  1600, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 32s .
Step  1700, Loss:  0.03, Accuracy:  99.22%, Time usage:  0m 32s .
Step  1800, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 33s .
Step  1900, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 38s .
Step  2000, Loss:  0.03, Accuracy:  98.44%, Time usage:  0m 38s .
Step  2100, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 39s .
Step  2200, Loss:  0.01, Accuracy:  99.22%, Time usage:  0m 40s .
Step  2300, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 40s .
Step  2400, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 44s .
Step  2500, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 45s .
Step  2600, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 46s .
Step  2700, Loss:  0.03, Accuracy:  98.44%, Time usage:  0m 46s .
Step  2800, Loss:  0.02, Accuracy:  99.22%, Time usage:  0m 47s .
Step  2900, Loss:  0.01, Accuracy: 100.00%, Time usage:  0m 51s .
Step  3000, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 52s .
Step  3100, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 52s .
Step  3200, Loss:  0.03, Accuracy:  98.44%, Time usage:  0m 53s .
Step  3300, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m 57s .
Step  3400, Loss:  0.01, Accuracy:  99.22%, Time usage:  0m 58s .
Step  3500, Loss:  0.01, Accuracy:  99.22%, Time usage:  0m 59s .
Step  3600, Loss:  0.04, Accuracy:  99.22%, Time usage:  0m 59s .
Step  3700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  0s .
Step  3800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  4s .
Step  3900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  5s .
Step  4000, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m  5s .
Step  4100, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m  6s .
Step  4200, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m  6s .
Step  4300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 11s .
Step  4400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 11s .
Step  4500, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 12s .
Step  4600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 12s .
Step  4700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 16s .
Step  4800, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 17s .
Step  4900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 18s .
Step  5000, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 18s .
Step  5100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 19s .
Step  5200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 23s .
Step  5300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 23s .
Step  5400, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 24s .
Step  5500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 25s .
Step  5600, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 25s .
Step  5700, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 30s .
Step  5800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 30s .
Step  5900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 31s .
Step  6000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 32s .
Step  6100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 36s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 37s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 37s .
Step  6400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 38s .
Step  6500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 39s .
Step  6600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 43s .
Step  6700, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 44s .
Step  6800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 44s .
